,phrase,label,sentiment,subjectivity,language,count
Georgia,Georgia,GPE,0.0362317831933796,0.27082395683299293,en,332
US,US,GPE,0.07065601248103846,0.32436722744679636,en,321
U.S.,U.S.,GPE,0.04044059666812745,0.3165525149453721,en,302
Florida,Florida,GPE,0.0470800165005463,0.2625117701773331,en,302
Russia,Russia,GPE,0.002769437774320601,0.2192179149698679,en,256
Ukraine,Ukraine,GPE,0.05124655417722645,0.2751395093779547,en,238
Washington,Washington,GPE,0.08867344586293634,0.37512390357931774,en,157
Iowa,Iowa,GPE,0.11047726730485348,0.37115130527199475,en,145
New York,New York,GPE,0.08008918264275414,0.38048008786848025,en,140
UK,UK,GPE,0.09444654023225456,0.28917327469708415,en,105
Italy,Italy,GPE,0.04647031634623547,0.205980993407464,en,102
California,California,GPE,0.057488157977288415,0.22776475939519417,en,92
Miami,Miami,GPE,0.012537225705329152,0.22973639653237354,en,87
Fulton County,Fulton County,GPE,0.046628017984725316,0.20954991993101751,en,82
China,China,GPE,0.011232285104236324,0.17750972266216167,en,82
New Jersey,New Jersey,GPE,0.10947312409812412,0.3675666035353532,en,80
Trump,Trump,GPE,0.06370144711125722,0.27257828054505273,en,79
Germany,Germany,GPE,0.04891804558745349,0.19951056618819782,en,76
WASHINGTON,WASHINGTON,GPE,0.09993745030479724,0.3039757123073451,en,70
New York City,New York City,GPE,0.09851315351315354,0.4068566433566433,en,65
Austria,Austria,GPE,0.15134288229929874,0.24831808224060042,en,59
Moscow,Moscow,GPE,0.03271400445129258,0.23976658699116313,en,59
America,America,GPE,0.10891297967569155,0.39307175874972494,en,59
Manhattan,Manhattan,GPE,0.02479486278828384,0.3458010451212205,en,57
France,France,GPE,0.04549845865635337,0.3010361762993342,en,57
NEW YORK,NEW YORK,GPE,0.10853026340242251,0.3807992806856443,en,56
the United States,the United States,GPE,0.07207146136691592,0.41087026105207924,en,55
Sussex,Sussex,GPE,0.13682631072631074,0.3179884078884079,en,50
India,India,GPE,0.11701228956228955,0.404718302068302,en,50
Los Angeles,Los Angeles,GPE,0.06990198863636363,0.32428440656565655,en,48
Vietnam,Vietnam,GPE,0.0977998065764023,0.21882656350741458,en,47
Fulton County District,Fulton County District,GPE,0.06386653805132066,0.1749591411004455,en,46
D.C.,D.C.,GPE,0.04995498462889767,0.3557036984754376,en,46
Hollywood,Hollywood,GPE,0.08070338477947173,0.28253066378066377,en,46
London,London,GPE,0.0545981554677207,0.24586074251835122,en,46
Milwaukee,Milwaukee,GPE,0.12848572239560616,0.2770685537546003,en,43
Atlanta,Atlanta,GPE,0.007528776133427297,0.1863706835799859,en,43
Rome,Rome,GPE,0.09213304924242424,0.17313446969696972,en,40
North Korea,North Korea,GPE,0.057544045901188744,0.17017285095856524,en,35
