,phrase,label,sentiment,subjectivity,language,count
first,first,ORDINAL,,,en,222
2025,2025,DATE,,,en,179
Wednesday,Wednesday,DATE,,,en,143
Monday,Monday,DATE,,,en,130
Tuesday,Tuesday,DATE,,,en,126
Friday,Friday,DATE,,,en,124
French,French,NORP,,,en,123
one,one,CARDINAL,,,en,120
Thursday,Thursday,DATE,,,en,102
three,three,CARDINAL,,,en,73
two,two,CARDINAL,,,en,70
Israeli,Israeli,NORP,,,en,66
Sunday,Sunday,DATE,,,en,61
The View,The View,WORK_OF_ART,,,en,60
Russian,Russian,NORP,,,en,59
Democrats,Democrats,NORP,,,en,57
Saturday,Saturday,DATE,,,en,57
American,American,NORP,,,en,56
Nobel,Nobel,WORK_OF_ART,,,en,52
One,One,CARDINAL,,,en,44
German,German,NORP,,,en,43
second,second,ORDINAL,,,en,43
this week,this week,DATE,,,en,43
Republican,Republican,NORP,,,en,40
Nobel Prize,Nobel Prize,WORK_OF_ART,,,en,38
today,today,DATE,,,en,38
Democratic,Democratic,NORP,,,en,37
the Nobel Prize,the Nobel Prize,WORK_OF_ART,,,en,35
Ukrainian,Ukrainian,NORP,,,en,34
European,European,NORP,,,en,32
3,3,CARDINAL,,,en,29
year,year,DATE,,,en,29
Japanese,Japanese,NORP,,,en,28
Republicans,Republicans,NORP,,,en,27
2024,2024,DATE,,,en,27
Chinese,Chinese,NORP,,,en,26
late-night,late-night,TIME,,,en,26
morning,morning,TIME,,,en,25
the White House,the White House,FAC,,,en,25
Canadian,Canadian,NORP,,,en,25
First,First,ORDINAL,,,en,25
2026,2026,DATE,,,en,24
Tylenol,Tylenol,PRODUCT,,,en,23
Today,Today,DATE,,,en,21
24,24,CARDINAL,,,en,21
four,four,CARDINAL,,,en,20
this year,this year,DATE,,,en,20
Palestinian,Palestinian,NORP,,,en,19
five,five,CARDINAL,,,en,19
Americans,Americans,NORP,,,en,19
last week,last week,DATE,,,en,18
night,night,TIME,,,en,18
Curb Your Enthusiasm,Curb Your Enthusiasm,WORK_OF_ART,,,en,18
evening,evening,TIME,,,en,17
Three,Three,CARDINAL,,,en,17
200,200,CARDINAL,,,en,17
World Cup,World Cup,EVENT,,,en,17
British,British,NORP,,,en,17
Secret Fashion Show,Secret Fashion Show,WORK_OF_ART,,,en,17
South Korean,South Korean,NORP,,,en,17
annual,annual,DATE,,,en,16
The Life of a Showgirl,The Life of a Showgirl,WORK_OF_ART,,,en,15
Turkish,Turkish,NORP,,,en,15
just days,just days,DATE,,,en,15
September,September,DATE,,,en,15
yesterday,yesterday,DATE,,,en,14
50,50,DATE,,,en,14
Venezuelan,Venezuelan,NORP,,,en,14
the Nobel Prize in Physics,the Nobel Prize in Physics,WORK_OF_ART,,,en,14
1,1,CARDINAL,,,en,14
third,third,ORDINAL,,,en,14
days,days,DATE,,,en,14
Hungarian,Hungarian,NORP,,,en,14
10,10,CARDINAL,,,en,13
December,December,DATE,,,en,13
5,5,CARDINAL,,,en,13
November 14,November 14,DATE,,,en,13
Nobel Prize in Chemistry,Nobel Prize in Chemistry,WORK_OF_ART,,,en,13
Christians,Christians,NORP,,,en,12
Italian,Italian,NORP,,,en,12
Battle After Another,Battle After Another,WORK_OF_ART,,,en,11
the 2025 Nobel Prize in Physics,the 2025 Nobel Prize in Physics,WORK_OF_ART,,,en,11
2023,2023,DATE,,,en,11
Democrat,Democrat,NORP,,,en,11
the Nobel Peace Prize,the Nobel Peace Prize,WORK_OF_ART,,,en,11
the 2025 Nobel Prize in Chemistry,the 2025 Nobel Prize in Chemistry,WORK_OF_ART,,,en,10
Two,Two,CARDINAL,,,en,10
North Korean,North Korean,NORP,,,en,10
the year,the year,DATE,,,en,10
Nobel Peace Prize,Nobel Peace Prize,WORK_OF_ART,,,en,10
fourth,fourth,ORDINAL,,,en,10
years,years,DATE,,,en,10
Swedish,Swedish,NORP,,,en,10
Saudi,Saudi,NORP,,,en,10
4,4,CARDINAL,,,en,10
Nobel Prize in Physics,Nobel Prize in Physics,WORK_OF_ART,,,en,10
earlier this month,earlier this month,DATE,,,en,10
millions,millions,CARDINAL,,,en,9
Scorsese,Scorsese,NORP,,,en,9
January,January,DATE,,,en,9
November,November,DATE,,,en,9
the 2025 Nobel Prize in Physiology or Medicine,the 2025 Nobel Prize in Physiology or Medicine,WORK_OF_ART,,,en,9
Wednesday night,Wednesday night,TIME,,,en,9
2006,2006,DATE,,,en,9
Catholic,Catholic,NORP,,,en,9
decades,decades,DATE,,,en,9
31,31,CARDINAL,,,en,9
Bugonia,Bugonia,WORK_OF_ART,-0.3005892255892256,0.7384680134680135,en,9
2,2,CARDINAL,,,en,9
PM,PM,TIME,,,en,9
six,six,CARDINAL,,,en,8
last year,last year,DATE,,,en,8
daily,daily,DATE,,,en,8
the day,the day,DATE,,,en,8
Indian,Indian,NORP,,,en,8
half,half,CARDINAL,,,en,8
the Nobel Prize in Chemistry,the Nobel Prize in Chemistry,WORK_OF_ART,,,en,8
the World Series,the World Series,EVENT,,,en,8
Asian,Asian,NORP,,,en,8
the Nobel memorial prize in economics Monday,the Nobel memorial prize in economics Monday,WORK_OF_ART,,,en,8
Kiss of the Spider Woman,Kiss of the Spider Woman,WORK_OF_ART,,,en,8
56,56,DATE,,,en,8
less than a month,less than a month,DATE,,,en,8
Paris Fashion Week,Paris Fashion Week,EVENT,,,en,8
70,70,DATE,,,en,8
Boots,Boots,WORK_OF_ART,,,en,8
Netflix,Netflix,WORK_OF_ART,,,en,8
English,English,NORP,,,en,8
Meet the Press,Meet the Press,WORK_OF_ART,,,en,8
Biden,Biden,NORP,,,en,8
The Fine Print,The Fine Print,WORK_OF_ART,,,en,8
2028,2028,DATE,,,en,8
the next 48 hours,the next 48 hours,TIME,,,en,8
months,months,DATE,,,en,8
Last month,Last month,DATE,,,en,7
One Night,One Night,TIME,,,en,7
two-day,two-day,DATE,,,en,7
Windsor Castle,Windsor Castle,FAC,,,en,7
Mornings,Mornings,TIME,,,en,7
2020,2020,CARDINAL,,,en,7
the years,the years,DATE,,,en,7
August,August,DATE,,,en,7
Star Trek:,Star Trek:,WORK_OF_ART,,,en,7
Grammy,Grammy,WORK_OF_ART,,,en,7
dozens,dozens,CARDINAL,,,en,7
October,October,DATE,,,,7
13,13,CARDINAL,,,en,7
Iranian,Iranian,NORP,,,en,7
this years,this years,DATE,,,en,6
100%,100%,PERCENT,,,en,6
North American,North American,NORP,,,en,6
87,87,DATE,,,en,6
25 years,25 years,DATE,,,en,6
Jews,Jews,NORP,,,en,6
This week,This week,DATE,,,en,6
eight,eight,CARDINAL,,,en,6
Halloween,Halloween,DATE,,,en,6
the weekend,the weekend,DATE,,,en,6
the 1980s,the 1980s,DATE,,,en,6
Bridgegate,Bridgegate,WORK_OF_ART,,,en,6
two weeks,two weeks,DATE,,,en,6
Yesterday,Yesterday,DATE,,,en,6
the Nobel memorial prize in economics,the Nobel memorial prize in economics,WORK_OF_ART,,,en,6
2001,2001,DATE,,,en,6
12th,12th,DATE,,,en,6
Super Bowl,Super Bowl,EVENT,,,en,6
2017,2017,DATE,,,en,6
$550 billion,$550 billion,MONEY,,,en,6
16,16,CARDINAL,,,en,6
2022,2022,DATE,,,en,6
Hit Man,Hit Man,WORK_OF_ART,,,en,6
11,11,CARDINAL,,,en,6
October 15,October 15,DATE,,,en,5
Muslim,Muslim,NORP,,,en,5
a day,a day,DATE,,,en,5
Superman,Superman,WORK_OF_ART,,,en,5
Ennis,Ennis,WORK_OF_ART,,,en,5
later this year,later this year,DATE,,,en,5
Syrian,Syrian,NORP,,,en,5
Thursday night,Thursday night,TIME,,,en,5
48 hours,48 hours,TIME,,,en,5
Six,Six,CARDINAL,,,en,5
'The View','The View',WORK_OF_ART,,,en,5
three-year,three-year,DATE,,,en,5
Rs 9.55 lakh crore,Rs 9.55 lakh crore,MONEY,,,en,5
Madison Beer,Madison Beer,WORK_OF_ART,,,en,5
May I Finish,May I Finish,WORK_OF_ART,,,en,5
Sept. 9,Sept. 9,DATE,,,en,5
Dutch,Dutch,NORP,,,en,5
2018,2018,DATE,,,en,5
2003,2003,DATE,,,en,5
15,15,CARDINAL,,,en,5
May,May,DATE,,,en,5
the Nobel Prize in Economics,the Nobel Prize in Economics,WORK_OF_ART,,,en,5
Season 1,Season 1,DATE,,,en,5
countrys,countrys,NORP,,,en,5
the Super Bowl,the Super Bowl,EVENT,,,en,5
October 6,October 6,DATE,,,en,5
the Nobel prize,the Nobel prize,WORK_OF_ART,,,en,5
Nobel Memorial Prize,Nobel Memorial Prize,WORK_OF_ART,,,en,5
hours,hours,TIME,,,en,5
two days,two days,DATE,,,en,5
February,February,DATE,,,en,5
$1.36 million,$1.36 million,MONEY,,,en,5
18,18,CARDINAL,,,en,5
Last week,Last week,DATE,,,en,5
Greek,Greek,NORP,,,en,5
28 Years Later,28 Years Later,DATE,,,en,5
Camp Rock 3,Camp Rock 3,EVENT,2.0,3.15,en,5
Qatari,Qatari,NORP,,,en,5
the week,the week,DATE,,,en,5
Broadway,Broadway,FAC,,,en,5
25,25,CARDINAL,,,en,4
Sunday evening,Sunday evening,TIME,,,en,4
1997,1997,DATE,,,en,4
October 2025,October 2025,DATE,,,en,4
three-day,three-day,DATE,,,en,4
The Smashing Machine,The Smashing Machine,WORK_OF_ART,,,en,4
the 2025 Venice Film Festival,the 2025 Venice Film Festival,EVENT,,,en,4
early 2026,early 2026,DATE,,,en,4
day 9,day 9,DATE,,,en,4
$2 billion,$2 billion,MONEY,,,en,4
41,41,CARDINAL,,,en,4
The Boys in the Boat,The Boys in the Boat,WORK_OF_ART,,,en,4
Frenchman,Frenchman,NORP,,,en,4
Nobel economics prize,Nobel economics prize,WORK_OF_ART,,,en,4
later this week,later this week,DATE,,,en,4
Venezuelan Nobel Peace Prize,Venezuelan Nobel Peace Prize,WORK_OF_ART,,,en,4
A few weeks ago,A few weeks ago,DATE,,,en,4
two years,two years,DATE,,,en,4
seventh,seventh,ORDINAL,,,en,4
This Week,This Week,DATE,,,en,4
Nazi,Nazi,NORP,,,en,4
Israels,Israels,NORP,,,en,4
Palestinians,Palestinians,NORP,,,en,4
This year,This year,DATE,,,en,4
Spanish,Spanish,LANGUAGE,,,en,4
Alone Together,Alone Together,WORK_OF_ART,,,en,4
the 2025 Nobel Prize,the 2025 Nobel Prize,WORK_OF_ART,,,en,4
30,30,DATE,,,en,4
the Grand Ducal Palace,the Grand Ducal Palace,FAC,,,en,4
Venice Film Festival,Venice Film Festival,EVENT,,,en,4
Consent Framework,Consent Framework,WORK_OF_ART,,,en,4
the 2025 Nobel Prize in Literature,the 2025 Nobel Prize in Literature,WORK_OF_ART,,,en,4
2014,2014,DATE,,,en,4
Comanche,Comanche,PRODUCT,,,en,4
6,6,CARDINAL,,,en,4
Socialists,Socialists,NORP,,,en,4
Secret,Secret,PRODUCT,,,en,4
46th,46th,ORDINAL,,,en,4
20,20,CARDINAL,,,en,4
three years,three years,DATE,,,en,4
2019,2019,DATE,,,en,4
more than a month,more than a month,DATE,,,en,4
Belgian,Belgian,NORP,,,en,4
daytime,daytime,TIME,,,en,4
2009,2009,DATE,,,en,4
2021,2021,DATE,,,en,4
35,35,CARDINAL,,,en,4
Australian,Australian,NORP,,,en,4
hundreds,hundreds,CARDINAL,,,en,4
69,69,CARDINAL,,,en,4
“The View”,“The View”,WORK_OF_ART,,,en,4
MLS Cup,MLS Cup,EVENT,,,en,3
October 26,October 26,DATE,,,en,3
March,March,DATE,,,en,3
10 percent,10 percent,PERCENT,,,en,3
+4312,+4312,NORP,,,en,3
Season 2,Season 2,DATE,,,en,3
week,week,DATE,,,en,3
28,28,CARDINAL,,,en,3
Spice,Spice,PRODUCT,,,en,3
this evening,this evening,TIME,,,en,3
this past week,this past week,DATE,,,en,3
2010,2010,DATE,,,en,3
October 9,October 9,DATE,,,en,3
60 Minutes,60 Minutes,WORK_OF_ART,,,en,3
a few days,a few days,DATE,,,en,3
recent days,recent days,DATE,,,en,3
more than two years,more than two years,DATE,,,en,3
22,22,CARDINAL,,,en,3
Star Trek,Star Trek,PRODUCT,,,en,3
44,44,CARDINAL,,,en,3
Victorias Secret Fashion Show,Victorias Secret Fashion Show,EVENT,,,en,3
£6.2m,£6.2m,MONEY,,,en,3
Game 3,Game 3,LAW,,,en,3
32,32,CARDINAL,,,en,3
eight years,eight years,DATE,,,en,3
2016,2016,DATE,,,en,3
After the Hunt,After the Hunt,WORK_OF_ART,,,en,3
this weekend,this weekend,DATE,,,en,3
An Inconvenient Study,An Inconvenient Study,PRODUCT,,,en,3
nationalists,nationalists,NORP,,,en,3
the First Amendment,the First Amendment,LAW,,,en,3
Tuesday night,Tuesday night,TIME,,,en,3
400,400,CARDINAL,,,en,3
less than two months,less than two months,DATE,,,en,3
Irish,Irish,NORP,,,en,3
Dem,Dem,NORP,,,en,3
67,67,CARDINAL,,,en,3
tomorrow,tomorrow,DATE,,,en,3
