,phrase,label,sentiment,subjectivity,language,count
Steve Bannon,Steve Bannon,PERSON,-0.07777777777777778,0.29567901234567906,en,9
Ilya Sutskever,Ilya Sutskever,PERSON,0.003872053872053872,0.12201178451178452,en,9
Sebastian Stan,Sebastian Stan,PERSON,0.12786195286195284,0.3277497194163861,en,9
Alina Habba,Alina Habba,PERSON,0.03520389075944631,0.11936962214739993,en,9
Ramy Youssef,Ramy Youssef,PERSON,0.08143939393939394,0.20132575757575757,en,8
Juanita Castro,Juanita Castro,PERSON,0.0,0.04285714285714286,en,7
Greg Gutfeld,Greg Gutfeld,PERSON,-0.009523809523809523,0.16666666666666669,en,7
Liz Cheney,Liz Cheney,PERSON,0.12482993197278912,0.36020408163265305,en,7
Sandy Hook,Sandy Hook,PERSON,0.20468253968253972,0.4422222222222222,en,7
Chris Zylka,Chris Zylka,PERSON,0.049999999999999996,0.2333333333333333,en,6
Kendall Jenner,Kendall Jenner,PERSON,0.11574074074074074,0.337037037037037,en,6
Charli Xcx - In,Charli Xcx - In,PERSON,0.0,0.0,en,6
Bret Taylor,Bret Taylor,PERSON,0.09848484848484847,0.23106060606060605,en,6
Kenya Grace - Strangers02,Kenya Grace - Strangers02,PERSON,0.0,0.0,en,6
Keke Palmer,Keke Palmer,PERSON,0.42000000000000004,0.4488888888888889,en,5
Alan King,Alan King,PERSON,0.026666666666666672,0.17333333333333334,en,5
Tom Emmer,Tom Emmer,PERSON,-0.10666666666666666,0.18666666666666665,en,5
Teddy Swims - Lose,Teddy Swims - Lose,PERSON,0.0,0.0,en,5
Halle Berry,Halle Berry,PERSON,0.12402597402597401,0.3717532467532468,en,5
Benny Blanco,Benny Blanco,PERSON,0.25333333333333335,0.36,en,5
Ines De Ramon,Ines De Ramon,PERSON,0.135,0.16,en,5
David Lynch,David Lynch,PERSON,0.25,0.26,en,5
Tom Williams,Tom Williams,PERSON,-0.01727272727272728,0.2040909090909091,en,5
John Turscak,John Turscak,PERSON,-0.04888888888888889,0.2011111111111111,en,5
Michael Jackson,Michael Jackson,PERSON,0.02012987012987013,0.2248376623376623,en,5
Bill Ackman,Bill Ackman,PERSON,0.2877705627705628,0.3828463203463203,en,5
Jon Watts,Jon Watts,PERSON,0.09333333333333332,0.15999999999999998,en,5
Jack Ryan,Jack Ryan,PERSON,-0.011805555555555552,0.23263888888888884,en,4
Dan Patrick,Dan Patrick,PERSON,0.0,0.03125,en,4
Mother Wolf,Mother Wolf,PERSON,0.025,0.265625,en,4
Matthew Heineman,Matthew Heineman,PERSON,-0.03412472943722944,0.17882530663780663,en,4
Kacey Musgraves)02,Kacey Musgraves)02,PERSON,0.0,0.0,en,4
Bola Ahmed Tinubu,Bola Ahmed Tinubu,PERSON,0.0,0.0,en,4
Bebe Rexha - One,Bebe Rexha - One,PERSON,0.0,0.0,en,4
Kathy Hilton,Kathy Hilton,PERSON,0.125,0.25,en,4
Meghan McCain,Meghan McCain,PERSON,-0.1375,0.3375,en,4
Phillip Noyce,Phillip Noyce,PERSON,0.0006944444444444489,0.1701388888888889,en,4
Mary Trump,Mary Trump,PERSON,-0.07833333333333335,0.35000000000000003,en,4
Peter Gabriel,Peter Gabriel,PERSON,0.10135281385281386,0.20625541125541125,en,4
Pedro Sanchez,Pedro Sanchez,PERSON,0.0,0.3,en,4
Helen Toner,Helen Toner,PERSON,0.1100378787878788,0.3535984848484849,en,4
Billy Miller,Billy Miller,PERSON,0.0,0.1,en,4
Lance Reddick,Lance Reddick,PERSON,0.0,0.0,en,4
Steve Harwell,Steve Harwell,PERSON,0.0,0.1,en,4
Dove Cameron,Dove Cameron,PERSON,0.0933982683982684,0.41307359307359304,en,4
Sinead OConnor,Sinead OConnor,PERSON,0.0,0.1,en,4
Alex Zelenka,Alex Zelenka,PERSON,0.4125,0.7,en,4
Elizabeth Hurley,Elizabeth Hurley,PERSON,0.2111111111111111,0.32222222222222224,en,4
Raquel Welch,Raquel Welch,PERSON,0.0,0.0,en,4
Christian Ziegler,Christian Ziegler,PERSON,0.0912037037037037,0.19768518518518519,en,4
