,phrase,label,sentiment,subjectivity,language,count
Trump,Trump,ORG,0.05465368380978979,0.3021761486081761,en,155
Elon Musk,Elon Musk,ORG,0.056435348631950585,0.2820343798596225,en,103
Tesla,Tesla,ORG,0.07571301247771839,0.3433080808080808,en,34
Defense,Defense,ORG,0.13212514757969304,0.3396535703353885,en,30
Kawasaki,Kawasaki,ORG,0.05655810983397191,0.42769476372924653,en,29
Al-Nassr,Al-Nassr,ORG,0.09982889237199584,0.4029066527342388,en,29
Instagram,Instagram,ORG,0.035808789424860855,0.28587230725623586,en,28
Musk,Musk,ORG,0.07108065545565546,0.3416579947829948,en,26
Reliance Industries,Reliance Industries,ORG,0.04691220238095239,0.15233134920634922,en,24
Kawasaki Frontale,Kawasaki Frontale,ORG,-0.008880471380471381,0.31481481481481477,en,19
House,House,ORG,0.1491919191919192,0.3875841750841751,en,18
Blue Origin,Blue Origin,ORG,0.02476851851851852,0.2113233024691358,en,18
Pentagon,Pentagon,ORG,0.16255518144407033,0.4714047886270108,en,18
MAGA,MAGA,ORG,0.12043969102792633,0.2863784907902555,en,17
AP,AP,ORG,0.15967447585094646,0.3113020965962143,en,17
BBC,BBC,ORG,0.08337121212121211,0.17175820707070708,en,16
the IAB Transparency &amp,the IAB Transparency &amp,ORG,-0.11223958333333334,0.3625,en,16
White Sox,White Sox,ORG,0.18870370370370368,0.1875,en,15
State,State,ORG,0.17280303030303032,0.29964105339105346,en,14
Pro League,Pro League,ORG,0.06255411255411254,0.23392857142857143,en,14
Reliance,Reliance,ORG,0.13152056277056276,0.34802489177489176,en,14
AFC Champions League,AFC Champions League,ORG,-0.02694805194805195,0.5273809523809524,en,14
Elon,Elon,ORG,0.07948717948717948,0.26474358974358975,en,13
the Catholic Church,the Catholic Church,ORG,0.12935522810522812,0.30955405705405703,en,13
UN,UN,ORG,0.048001998001997996,0.08638028638028637,en,13
Fox News,Fox News,ORG,0.018040123456790118,0.24824074074074073,en,12
the Asian Champions League Elite,the Asian Champions League Elite,ORG,0.10122685185185186,0.24949074074074074,en,12
NATO,NATO,ORG,0.0761882215007215,0.35186688311688313,,12
Justin,Justin,ORG,0.051809764309764306,0.37424242424242427,en,12
Apple,Apple,ORG,-0.012500000000000006,0.16666666666666666,en,11
the White House,the White House,ORG,0.10068452380952382,0.18880952380952382,en,10
ACI Prensa Staff,ACI Prensa Staff,ORG,0.045000000000000005,0.19416666666666665,en,10
Leo,Leo,ORG,0.054772727272727265,0.2309090909090909,en,10
Senate,Senate,ORG,-0.004210227272727271,0.3749242424242424,en,10
RIL,RIL,ORG,0.052428571428571435,0.1305595238095238,en,10
CNN,CNN,ORG,0.049305555555555554,0.1726851851851852,,9
Big Tech,Big Tech,ORG,0.007407407407407406,0.13148148148148148,en,9
Starlink,Starlink,ORG,0.021717171717171715,0.4427609427609427,en,9
Elon Musk's,Elon Musk's,ORG,-0.006119528619528622,0.23475589225589225,en,9
Asian Paints,Asian Paints,ORG,0.051248196248196244,0.10938492063492063,en,9
"Getty Images
","Getty Images
",ORG,0.11755050505050504,0.20948933782267115,en,9
SpaceX,SpaceX,ORG,0.019753086419753083,0.24629629629629632,en,9
The Independent,The Independent,ORG,0.008333333333333331,0.13541666666666666,en,8
OECD,OECD,ORG,0.020833333333333332,0.0375,en,8
Elon Musk’s,Elon Musk’s,ORG,0.017400568181818177,0.18039772727272727,en,8
GOP,GOP,ORG,0.1296672077922078,0.2920454545454546,en,8
the Asian Champions League,the Asian Champions League,ORG,0.022321428571428572,0.14285714285714285,en,7
United Nations,United Nations,ORG,0.1955119710221751,0.405150631681244,en,7
Reuters,Reuters,ORG,0.038690476190476185,0.05952380952380953,en,7
NYC,NYC,ORG,0.07772727272727274,0.2255194805194805,en,7
Lifetimes Tour,Lifetimes Tour,ORG,0.06523809523809522,0.1676190476190476,en,7
Catholic Church,Catholic Church,ORG,0.04069264069264068,0.29199134199134197,en,7
Pokémon,Pokémon,ORG,0.027777777777777776,0.06481481481481481,en,6
Rs,Rs,ORG,0.07729166666666666,0.13729166666666667,en,6
J-League,J-League,ORG,-0.12222222222222223,0.14444444444444446,en,6
