,phrase,label,sentiment,subjectivity,language,count
Tom Brady,Tom Brady,PERSON,0.1284023033723673,0.40135723101125276,en,547
Caitlin Clark,Caitlin Clark,PERSON,0.08617052508145881,0.3218580298738281,en,529
Taylor Swift,Taylor Swift,PERSON,0.11886703491649724,0.35736492368642914,en,465
Travis Kelce,Travis Kelce,PERSON,0.09788846109117492,0.32577705232146004,en,304
Francis Ford Coppola,Francis Ford Coppola,PERSON,0.12412150238012301,0.3807835808827188,en,290
LeBron James,LeBron James,PERSON,0.08988963642314163,0.34559258825367073,en,194
Roger Corman,Roger Corman,PERSON,0.18527488289632071,0.39720272674935897,en,193
Aaron Rodgers,Aaron Rodgers,PERSON,0.09729297414813291,0.3664521497755626,en,189
Angel Reese,Angel Reese,PERSON,0.11874617822091234,0.32370924608291607,en,188
Jason Kelce,Jason Kelce,PERSON,0.08377739888913079,0.37324659873542565,en,179
Donald Trump,Donald Trump,PERSON,0.04444208262978329,0.2466279598322135,en,178
Bronny James,Bronny James,PERSON,0.13844093505903318,0.345581619584687,en,163
Sabrina Carpenter,Sabrina Carpenter,PERSON,0.10527839854950245,0.3275908200745864,en,154
Dawn Staley,Dawn Staley,PERSON,0.1177127929541723,0.26248489824351895,en,145
Jake Gyllenhaal,Jake Gyllenhaal,PERSON,0.07301848269933381,0.3777442612548997,en,141
Gisele Bündchen,Gisele Bündchen,PERSON,0.009814879985334507,0.36668334401288943,en,132
Kim Mulkey,Kim Mulkey,PERSON,0.005430823385368834,0.30201484542393653,en,121
Don Lemon,Don Lemon,PERSON,0.10566376244406553,0.28502165109488337,en,99
Hailey Van Lith,Hailey Van Lith,PERSON,0.019580074942978178,0.2163884815900945,en,93
Bill Belichick,Bill Belichick,PERSON,0.11683530754959327,0.2538710160413457,en,91
Emma Stone,Emma Stone,PERSON,0.07926466368227733,0.34630374281652687,en,88
Joe Biden,Joe Biden,PERSON,0.06567291613615144,0.38144652406417096,en,85
Joe Alwyn,Joe Alwyn,PERSON,0.1391070730691267,0.36197802858517136,en,84
Adam Driver,Adam Driver,PERSON,0.12485132575757577,0.3471316513347762,en,80
Barry Keoghan,Barry Keoghan,PERSON,0.06786032196969698,0.2916484938672438,en,80
Tim Malone,Tim Malone,PERSON,0.12770144207644207,0.2948201721118387,en,78
Kylie Kelce,Kylie Kelce,PERSON,0.14431059200539723,0.4597118682183616,en,77
Nikki Glaser,Nikki Glaser,PERSON,0.12579874517374517,0.307948987948988,en,74
Chris Hemsworth,Chris Hemsworth,PERSON,0.03438081208914542,0.5102144961519961,en,72
Kim Kardashian,Kim Kardashian,PERSON,0.10104424158771984,0.3543219984524331,en,69
Ryan Gosling,Ryan Gosling,PERSON,0.12733551696619877,0.2747694109341836,en,66
Emily Blunt,Emily Blunt,PERSON,0.07645328282828283,0.3108359557109557,en,65
Justin Timberlake,Justin Timberlake,PERSON,0.05652768606158439,0.31306672454977547,en,59
Jimmy Kimmel,Jimmy Kimmel,PERSON,0.09921264678807783,0.3069158332089367,en,58
Charles Barkley,Charles Barkley,PERSON,0.031544591321377026,0.30155406101834675,en,56
Bridget Moynahan,Bridget Moynahan,PERSON,0.12941861739083962,0.31767934637379086,en,54
Cameron Brink,Cameron Brink,PERSON,0.1665985013534033,0.31231242160163736,en,51
Jeff Bezos,Jeff Bezos,PERSON,-0.0037062770562770577,0.2689844155844156,en,50
Kanye West,Kanye West,PERSON,0.0383447570947571,0.2981297179766567,en,49
Matty Healy,Matty Healy,PERSON,0.0981460437710438,0.43137498496873494,en,48
Robert Kraft,Robert Kraft,PERSON,0.08322855888073283,0.3452612303155781,en,46
Gisele Bundchen,Gisele Bundchen,PERSON,-0.14731141644185122,0.36785238513499385,en,46
Jeff Ross,Jeff Ross,PERSON,0.20202890708325488,0.43358727021770493,en,46
Yorgos Lanthimos,Yorgos Lanthimos,PERSON,0.10321829405162739,0.36605892255892264,en,45
Lily Gladstone,Lily Gladstone,PERSON,0.01576865594722737,0.20802154195011335,en,42
Andrea Arnold,Andrea Arnold,PERSON,0.11180610527039098,0.31132376485947916,en,42
Ben Affleck,Ben Affleck,PERSON,0.01362304362304362,0.3142162775496109,en,39
Joey Fatone,Joey Fatone,PERSON,0.12048027265132524,0.42865066707171967,en,38
Francis Ford,Francis Ford,PERSON,0.0786584595959596,0.3895056717973385,en,36
Patrick Mahomes,Patrick Mahomes,PERSON,0.14920284191117522,0.3611022465189132,en,36
Kate Middleton,Kate Middleton,PERSON,0.012279391133557797,0.2031110877291433,en,36
Mike Pence,Mike Pence,PERSON,0.050239898989899,0.13991341991341993,en,35
Hunter Biden,Hunter Biden,PERSON,-0.021861471861471866,0.17157287157287154,en,35
Van Lith,Van Lith,PERSON,0.038202380952380946,0.259234126984127,en,35
Greta Gerwig,Greta Gerwig,PERSON,0.07880379424497072,0.2453219166454461,en,34
Martin Scorsese,Martin Scorsese,PERSON,0.07221479500891263,0.37659016636957815,en,34
Jennifer Lopez,Jennifer Lopez,PERSON,0.009335821449792059,0.4195513963161022,en,34
Jason Whitlock,Jason Whitlock,PERSON,0.03129336292215082,0.2859453117028875,en,33
