keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Volodymyr Zelenskyy',en,Ukraine,#e818e8,#e818e8,2,0.5042875318181819
'Kamala Harris',en,USA,#18e8e8,#18e8e8,3,0.5034140098852272
'Recep Tayyip Erdoan',en,Türkei,#111111,#111111,3,0.5025468776649034
'Stormy Daniels',en,USA,#18e8e8,#18e8e8,3,0.5013806060466646
'Martin Luther King',en,USA,#18e8e8,#18e8e8,3,0.5003270613636364
'Robert Oppenheimer',en,USA,#18e8e8,#18e8e8,2,0.5003171013636364
'Queen Elizabeth II',en,UK,#e838e8,#e838e8,3,0.5002063696136363
'Pope Francis',en,Vatikan,#58b8e8,#58b8e8,2,0.5
'Jack Teixeira',en,USA,#18e8e8,#18e8e8,3,0.4997267489155113
'George Clooney',en,USA,#18e8e8,#18e8e8,3,0.496814823
'Rupert Murdoch',en,USA,#18e8e8,#18e8e8,3,0.4966240303909091
'Geoffrey Hinton',en,UK,#e838e8,#e838e8,3,0.4931910376136363
'William Shakespeare',en,UK,#e838e8,#e838e8,2,0.4912269572727273
'Margaret Thatcher',en,UK,#e838e8,#e838e8,3,0.4904505731363636
'Ed McVey',en,UK,#e838e8,#e838e8,2,0.4892616402272727
'Konrad Adenauer',en,Deutschland,#1818e8,#1818e8,3,0.4885377965217391
'Jean Carroll',en,USA,#18e8e8,#18e8e8,3,0.4841271665386363
'Winston Churchill',en,UK,#e838e8,#e838e8,3,0.4834105133409091
'Tucker Carlson',en,USA,#18e8e8,#18e8e8,3,0.4831210524016282
'Henry Ford',en,USA,#18e8e8,#18e8e8,2,0.4821373081818182
'Angel Reese',en,USA,#18e8e8,#18e8e8,3,0.4820336731094886
'Finnegan Biden',en,USA,#18e8e8,#18e8e8,3,0.4803831931947727
'Kanye West',en,USA,#18e8e8,#18e8e8,3,0.4790201249323863
'Isaac Newton',en,UK,#e838e8,#e838e8,3,0.4775881036363636
'Mathias Döpfner',en,Deutschland,#1818e8,#1818e8,1,0.4751502775
'Alvin Bragg',en,USA,#18e8e8,#18e8e8,3,0.4741346288205113
'Recep Tayyip Erdogan',en,Türkei,#111111,#111111,3,0.4732703774397727
'Kate Middleton',en,UK,#e838e8,#e838e8,3,0.4732160574838477
'Herschel Walker',en,USA,#18e8e8,#18e8e8,3,0.4727226010409091
'Wang Wentao',en,China,#e88818,#e88818,1,0.4714530827499999
'Christopher Nolan',en,USA,#18e8e8,#18e8e8,3,0.4712078051786363
'Paul Whelan',en,USA,#18e8e8,#18e8e8,3,0.4708771226394885
'Vladimir Putin',en,Russland,#e81818,#e81818,3,0.4703773714090909
'Prince Louis',en,UK,#e838e8,#e838e8,3,0.4699840761590909
'Lionel Richie',en,USA,#18e8e8,#18e8e8,3,0.469650571347159
'Benedict XVI',en,Vatikan,#58b8e8,#58b8e8,2,0.4690822710227272
'Billy Graham',en,USA,#18e8e8,#18e8e8,3,0.4684984095454546
'Chris Hipkins',en,Neuseeland,#1818e8,#1818e8,3,0.4679683345454545
'Prince Andrew',en,UK,#e838e8,#e838e8,3,0.4668932768181818
'Nikki Haley',en,USA,#18e8e8,#18e8e8,3,0.4657134795909091
'Pippa Middleton',en,UK,#e838e8,#e838e8,3,0.4631318393624999
'Meghan Markle',en,UK,#e838e8,#e838e8,3,0.4627760355641466
'Leonardo DiCaprio',en,USA,#18e8e8,#18e8e8,2,0.4613729217954545
'Queen Camilla',en,UK,#e838e8,#e838e8,2,0.4612398377272727
'Harry Belafonte',en,USA,#18e8e8,#18e8e8,2,0.4606394913409091
'Tim Cook',en,USA,#18e8e8,#18e8e8,3,0.4593413235
'Richard Feynman',en,USA,#18e8e8,#18e8e8,1,0.459000405
'Lula da Silva',en,Brasilien,#58e838,#58e848,3,0.455622271790909
'Yevgeny Prigozhin',en,Russland,#e81818,#e81818,3,0.4554887075727272
'Bruce Springsteen',en,USA,#18e8e8,#18e8e8,2,0.4535907375454546
'Prince Archie',en,UK,#e838e8,#e838e8,3,0.4509858190533983
'Katy Perry',en,USA,#18e8e8,#18e8e8,2,0.4497660471818182
'Volodymyr Zelenskiy',en,Ukraine,#e818e8,#e818e8,3,0.4494231094764205
'Stephen Hawking',en,UK,#e838e8,#e838e8,3,0.4490833397727272
'Akshata Murty',en,Indien,#111111,#111111,3,0.447983289141534
'Milo Yiannopoulos',en,UK,#e838e8,#e838e8,3,0.4475198738113942
'Meg Bellamy',en,UK,#e838e8,#e838e8,2,0.4458871588079545
'Henry Kissinger',en,USA,#18e8e8,#18e8e8,2,0.4447570457988635
'Jill Biden',en,USA,#18e8e8,#18e8e8,3,0.4444218402811901
'King Charles III',en,UK,#e838e8,#e838e8,3,0.44294337120031535
'Oprah Winfrey',en,USA,#18e8e8,#18e8e8,3,0.4428745193367984
'Lionel Messi',en,Argentinien,#111111,#111111,2,0.4422021881818181
'Yoon Suk Yeol',en,SüdKorea,#111111,#111111,3,0.439346431366534
'George Bush',en,USA,#18e8e8,#18e8e8,3,0.4382153743636364
'Kai Wegner',en,Deutschland,#1818e8,#1818e8,2,0.4381316939999999
'Penny Mordaunt',en,UK,#e838e8,#e838e8,3,0.433921058515284
'Evan Gershkovich',en,USA,#18e8e8,#18e8e8,3,0.4318388999952297
'Hillary Clinton',en,USA,#18e8e8,#18e8e8,2,0.4314815463636363
'Alfred Nobel',en,Schweden,#111111,#111111,1,0.4313710570277778
'Albert Einstein',en,Deutschland,#1818e8,#1818e8,3,0.4290901302727272
'Donald Trump',en,USA,#18e8e8,#18e8e8,3,0.4289157651264783
'Jimmy Carter',en,USA,#18e8e8,#18e8e8,3,0.4283803291874998
'Caitlin Clark',en,USA,#18e8e8,#18e8e8,3,0.4278591377989885
'Anne Will',en,Deutschland,#1818e8,#1818e8,2,0.4278387052045453
'Leonardo da Vinci',en,Italien,#111111,#111111,3,0.4272171996818181
'Steve Jobs',en,USA,#18e8e8,#18e8e8,3,0.4248182491590909
'Bill Clinton',en,USA,#18e8e8,#18e8e8,2,0.4244000651261363
'Peter Thiel',en,USA,#18e8e8,#18e8e8,3,0.4220498174020454
'Napoleon Bonaparte',en,Frankreich,#e8e808,#e8e808,2,0.4186274083181818
'Andrew Tate',en,USA,#18e8e8,#18e8e8,3,0.4184697496932955
'George Washington',en,USA,#18e8e8,#18e8e8,3,0.413214871815909
'Prince William',en,UK,#e838e8,#e838e8,3,0.4086241997965908
'Adolf Hitler',en,Deutschland,#1818e8,#1818e8,3,0.4038998990352273
'Rudolf Steiner',en,Oesterreich,#111111,#111111,1,0.4036388095384615
'Scott Morrison',en,Australien,#111111,#111111,3,0.4026300859738635
'Nick Fuentes',en,USA,#18e8e8,#18e8e8,3,0.4014151406299999
'Steven Spielberg',en,USA,#18e8e8,#18e8e8,3,0.3985073378749998
'Nadja Abd el Farrag',en,Deutschland,#1818e8,#1818e8,1,0.397375
'Georg Bätzing',en,Deutschland,#1818e8,#1818e8,1,0.397375
'Gérard Biard',en,Frankreich,#e8e808,#e8e808,1,0.397375
'Pope Benedict',en,Vatikan,#58b8e8,#58b8e8,3,0.3942262179090909
'Prince Harry',en,UK,#e838e8,#e838e8,2,0.3931558244181817
'Erich Honecker',en,Deutschland,#1818e8,#1818e8,1,0.390600096
'Werner von Braun',en,Deutschland,#1818e8,#1818e8,1,0.39060008325
'Dieter Bohlen',en,Deutschland,#1818e8,#1818e8,2,0.39042752775
'Edmund Stoiber',en,Deutschland,#1818e8,#1818e8,1,0.39015
'Carl Friedrich Gauß',en,Deutschland,#1818e8,#1818e8,1,0.39015
'Alfred Bernhard Nobel',en,Schweden,#111111,#111111,1,0.39015
'Maybritt Illner',en,Deutschland,#1818e8,#1818e8,1,0.39015
'Joachim Gauck',en,Deutschland,#1818e8,#1818e8,1,0.39015
'Helge Schneider',en,Deutschland,#1818e8,#1818e8,1,0.39015
'Barbara Sturm',en,Deutschland,#1818e8,#1818e8,2,0.3845387462878623
'Herbert Diess',en,Deutschland,#1818e8,#1818e8,2,0.3816646526742424
'Putin',en,Russland,#e81818,#e81818,3,0.3754496622565719
'Jordan Bardella',en,Frankreich,#e8e808,#e8e808,1,0.375144201525
'Nina Gummich',en,Deutschland,#1818e8,#1818e8,1,0.36414
'Ulrich Reitz',en,Deutschland,#1818e8,#1818e8,1,0.3634175
'Ron DeSantis',en,USA,#18e8e8,#18e8e8,3,0.3633494584534928
'Peter Urban',en,Deutschland,#1818e8,#1818e8,3,0.3527818368090908
'Joe Biden',en,USA,#18e8e8,#18e8e8,3,0.3504942599805861
'Helmut Kohl',en,Deutschland,#1818e8,#1818e8,1,0.3476143768880114
